2022 Position,2015 Position
28.556,28.69
39.344,38.83
54.639,53.72
94.665,94.06
104.432,103.33
112.536,111.52
129.521,128.88
144.81,144.02
176.437,175.63
216.539,215.7
256.588,255.86
270.072,269.0
310.207,309.49
350.289,349.65
360.666,359.33
377.671,376.91
385.886,384.52
408.904,407.86
419.098,417.34
431.184,429.95
440.489,438.75
447.992,446.26
488.084,486.3
2879.088,2878.59
5608.422,5607.75
6410.272,6411.38
6862.73,6863.86
8453.317,8455.03
12408.337,12409.59
13033.13,13035.04
13646.132,13647.91
14214.583,14215.54
14574.216,14576.18
14614.327,14616.24
14654.652,14656.33
14694.688,14696.18
14741.844,14741.05
14815.751,14816.3
14855.331,14856.33
14895.509,14896.33
15024.764,15025.35
15065.039,15065.38
15105.056,15105.49
15145.279,15145.46
15185.384,15185.39
15225.486,15225.33
15265.39,15264.67
15352.431,15352.78
15428.228,15427.75
15506.161,15504.34
18211.552,18212.77
18251.742,18252.75
18855.794,18853.96
22612.415,22612.04
22652.638,22652.08
29800.643,29802.06
30859.37,30858.27
30931.631,30930.8
30971.788,30970.98
30982.776,30981.41
31055.404,31055.59
31369.964,31371.76
31410.01,31411.76
31729.511,31730.57
31780.121,31781.14
32399.498,32400.8
32778.878,32780.19
32960.751,32962.17
33000.797,33002.05
33040.823,33042.07
33080.971,33082.04
33121.119,33122.06
33161.253,33162.11
33201.247,33202.15
33241.496,33242.18
33281.601,33282.17
33321.775,33322.18
33361.893,33362.23
33402.024,33401.66
33442.024,33441.67
33481.617,33481.73
33521.657,33521.75
33561.916,33561.84
33601.926,33601.93
33642.159,33641.83
33682.27,33681.8
33722.411,33721.75
33762.352,33761.78
33802.53,33801.85
33907.72,33906.84
33947.933,33946.93
33988.009,33987.05
34028.199,34027.19
34068.268,34067.3
34108.556,34107.43
34148.638,34147.51
34188.855,34187.65
34228.947,34227.74
34269.131,34267.84
34309.121,34307.96
34349.357,34348.08
34461.969,34460.57
34502.152,34500.61
34612.3,34610.66
34692.579,34690.59
34732.418,34730.66
34772.654,34770.73
35443.035,35443.69
35483.071,35483.61
35527.188,35527.67
37158.819,37158.67
37254.075,37252.48
37591.339,37592.52
37640.869,37640.54
37729.072,37727.81
38295.509,38294.94
38335.522,38335.03
38375.738,38375.14
39466.027,39466.11
39826.742,39825.67
39933.488,39932.53
43102.507,43103.13
43585.778,43585.88
43626.073,43626.03
43666.198,43666.13
44628.711,44629.55
44668.714,44669.66
44708.963,44709.74
45253.13,45251.43
45787.283,45787.83
45853.064,45853.08
45893.071,45893.11
46837.864,46838.0
46878.054,46878.0
47339.911,47340.4
48221.949,48220.7
48692.743,48691.46
48731.335,48731.61
48769.875,48771.71
50511.522,50512.74
50551.522,50552.77
50591.759,50592.86
51776.411,51776.45
51874.629,51876.58
52091.591,52093.15
52131.795,52133.21
52171.844,52173.21
52212.073,52213.09
52252.1,52253.12
52292.372,52293.16
52332.32,52333.22
52372.487,52373.33
52412.608,52413.34
52452.779,52453.44
52492.828,52493.41
52533.018,52533.44
52573.071,52573.54
52613.196,52613.65
52653.209,52653.72
52693.412,52693.86
52733.419,52734.02
52773.638,52774.13
52813.724,52814.26
52854.085,52854.29
52993.146,52993.05
53033.173,53033.14
53073.386,53073.16
53113.402,53113.1
53153.625,53153.04
53193.658,53193.04
53233.524,53233.15
53273.494,53273.25
53313.675,53313.21
53353.809,53353.16
53393.967,53393.05
53434.111,53433.03
53474.393,53473.11
53514.524,53513.23
53554.905,53553.31
53594.97,53593.33
53746.601,53744.92
54180.932,54182.66
56235.81,56236.1
56275.856,56276.0
56793.707,56792.12
57076.266,57075.61
